Path,Count
"(('Y01', 'Y02'),)",10
"(('Y11', 'Y15'),)",10
"(('Y06', 'Y02'), ('Y07', 'Y06'), ('Y11', 'Y07'))",10
"(('Y07', 'Y03'), ('Y11', 'Y07'))",10
"(('Y07', 'Y08'), ('Y08', 'Y04'), ('Y11', 'Y07'))",10
"(('Y09', 'Y05'), ('Y10', 'Y09'), ('Y11', 'Y10'))",10
"(('Y07', 'Y06'), ('Y11', 'Y07'))",10
"(('Y11', 'Y07'),)",10
"(('Y07', 'Y08'), ('Y11', 'Y07'))",10
"(('Y10', 'Y09'), ('Y11', 'Y10'))",10
"(('Y11', 'Y10'),)",10
"(('Y11', 'Y12'),)",10
"(('Y09', 'Y13'), ('Y10', 'Y09'), ('Y11', 'Y10'))",10
"(('Y10', 'Y14'), ('Y11', 'Y10'))",10
"(('Y11', 'Y12'), ('Y12', 'Y16'))",10
"(('Y10', 'Y11'), ('Y11', 'Y12'), ('Y12', 'Y16'))",10
"(('Y05', 'Y01'), ('Y09', 'Y05'), ('Y10', 'Y09'), ('Y11', 'Y10'), ('Y12', 'Y11'))",10
"(('Y06', 'Y02'), ('Y07', 'Y06'), ('Y11', 'Y07'), ('Y12', 'Y11'))",10
"(('Y07', 'Y03'), ('Y11', 'Y07'), ('Y12', 'Y11'))",10
"(('Y08', 'Y04'), ('Y12', 'Y08'))",10
"(('Y09', 'Y05'), ('Y10', 'Y09'), ('Y11', 'Y10'), ('Y12', 'Y11'))",10
"(('Y07', 'Y06'), ('Y11', 'Y07'), ('Y12', 'Y11'))",10
"(('Y11', 'Y07'), ('Y12', 'Y11'))",10
"(('Y12', 'Y08'),)",10
"(('Y10', 'Y09'), ('Y11', 'Y10'), ('Y12', 'Y11'))",10
"(('Y11', 'Y10'), ('Y12', 'Y11'))",10
"(('Y12', 'Y11'),)",10
"(('Y09', 'Y13'), ('Y10', 'Y09'), ('Y11', 'Y10'), ('Y12', 'Y11'))",10
"(('Y05', 'Y01'), ('Y09', 'Y05'), ('Y10', 'Y09'), ('Y11', 'Y10'))",10
"(('Y10', 'Y11'), ('Y11', 'Y15'))",10
"(('Y11', 'Y15'), ('Y12', 'Y11'))",10
"(('Y09', 'Y10'), ('Y10', 'Y11'), ('Y11', 'Y15'))",10
"(('Y06', 'Y02'), ('Y09', 'Y10'), ('Y10', 'Y06'))",10
"(('Y02', 'Y03'), ('Y06', 'Y02'), ('Y09', 'Y10'), ('Y10', 'Y06'))",10
"(('Y07', 'Y08'), ('Y08', 'Y04'), ('Y09', 'Y10'), ('Y10', 'Y11'), ('Y11', 'Y07'))",10
"(('Y09', 'Y05'),)",10
"(('Y09', 'Y10'), ('Y10', 'Y06'))",10
"(('Y09', 'Y10'), ('Y10', 'Y11'), ('Y11', 'Y07'))",10
"(('Y07', 'Y08'), ('Y09', 'Y10'), ('Y10', 'Y11'), ('Y11', 'Y07'))",10
"(('Y09', 'Y10'),)",10
"(('Y09', 'Y10'), ('Y10', 'Y11'))",10
"(('Y09', 'Y10'), ('Y10', 'Y11'), ('Y11', 'Y12'))",10
"(('Y09', 'Y13'),)",10
"(('Y09', 'Y10'), ('Y10', 'Y14'))",10
"(('Y09', 'Y10'), ('Y10', 'Y11'), ('Y11', 'Y12'), ('Y12', 'Y16'))",10
"(('Y10', 'Y14'),)",10
"(('Y05', 'Y01'), ('Y09', 'Y05'), ('Y10', 'Y09'))",10
"(('Y06', 'Y02'), ('Y10', 'Y06'))",10
"(('Y02', 'Y03'), ('Y06', 'Y02'), ('Y10', 'Y06'))",10
"(('Y07', 'Y08'), ('Y08', 'Y04'), ('Y10', 'Y11'), ('Y11', 'Y07'))",10
"(('Y09', 'Y05'), ('Y10', 'Y09'))",10
"(('Y10', 'Y06'),)",10
"(('Y10', 'Y11'), ('Y11', 'Y07'))",10
"(('Y07', 'Y08'), ('Y10', 'Y11'), ('Y11', 'Y07'))",10
"(('Y10', 'Y09'),)",10
"(('Y10', 'Y11'),)",10
"(('Y10', 'Y11'), ('Y11', 'Y12'))",10
"(('Y09', 'Y13'), ('Y10', 'Y09'))",10
"(('Y10', 'Y14'), ('Y11', 'Y10'), ('Y12', 'Y11'))",10
"(('Y12', 'Y16'),)",10
"(('Y01', 'Y02'), ('Y02', 'Y03'))",10
"(('Y05', 'Y01'), ('Y09', 'Y05'), ('Y10', 'Y09'), ('Y11', 'Y10'), ('Y12', 'Y11'), ('Y16', 'Y12'))",10
"(('Y07', 'Y08'), ('Y08', 'Y04'), ('Y11', 'Y07'), ('Y15', 'Y11'))",10
"(('Y09', 'Y05'), ('Y10', 'Y09'), ('Y11', 'Y10'), ('Y15', 'Y11'))",10
"(('Y07', 'Y06'), ('Y11', 'Y07'), ('Y15', 'Y11'))",10
"(('Y11', 'Y07'), ('Y15', 'Y11'))",10
"(('Y07', 'Y08'), ('Y11', 'Y07'), ('Y15', 'Y11'))",10
"(('Y10', 'Y09'), ('Y11', 'Y10'), ('Y15', 'Y11'))",10
"(('Y11', 'Y10'), ('Y15', 'Y11'))",10
"(('Y15', 'Y11'),)",10
"(('Y11', 'Y12'), ('Y15', 'Y11'))",10
"(('Y14', 'Y13'), ('Y15', 'Y14'))",10
"(('Y15', 'Y14'),)",10
"(('Y15', 'Y16'),)",10
"(('Y06', 'Y02'), ('Y07', 'Y06'), ('Y11', 'Y07'), ('Y12', 'Y11'), ('Y16', 'Y12'))",10
"(('Y06', 'Y02'), ('Y07', 'Y06'), ('Y11', 'Y07'), ('Y15', 'Y11'))",10
"(('Y07', 'Y03'), ('Y11', 'Y07'), ('Y12', 'Y11'), ('Y16', 'Y12'))",10
"(('Y08', 'Y04'), ('Y12', 'Y08'), ('Y16', 'Y12'))",10
"(('Y09', 'Y05'), ('Y10', 'Y09'), ('Y11', 'Y10'), ('Y12', 'Y11'), ('Y16', 'Y12'))",10
"(('Y07', 'Y06'), ('Y11', 'Y07'), ('Y12', 'Y11'), ('Y16', 'Y12'))",10
"(('Y11', 'Y07'), ('Y12', 'Y11'), ('Y16', 'Y12'))",10
"(('Y12', 'Y08'), ('Y16', 'Y12'))",10
"(('Y10', 'Y09'), ('Y11', 'Y10'), ('Y12', 'Y11'), ('Y16', 'Y12'))",10
"(('Y11', 'Y10'), ('Y12', 'Y11'), ('Y16', 'Y12'))",10
"(('Y12', 'Y11'), ('Y16', 'Y12'))",10
"(('Y16', 'Y12'),)",10
"(('Y14', 'Y13'), ('Y15', 'Y14'), ('Y16', 'Y15'))",10
"(('Y15', 'Y14'), ('Y16', 'Y15'))",10
"(('Y07', 'Y03'), ('Y11', 'Y07'), ('Y15', 'Y11'))",10
"(('Y05', 'Y01'), ('Y09', 'Y05'), ('Y10', 'Y09'), ('Y11', 'Y10'), ('Y15', 'Y11'))",10
"(('Y05', 'Y01'), ('Y09', 'Y05'), ('Y13', 'Y09'))",10
"(('Y13', 'Y14'), ('Y14', 'Y15'), ('Y15', 'Y16'))",10
"(('Y06', 'Y02'), ('Y09', 'Y10'), ('Y10', 'Y06'), ('Y13', 'Y09'))",10
"(('Y02', 'Y03'), ('Y06', 'Y02'), ('Y09', 'Y10'), ('Y10', 'Y06'), ('Y13', 'Y09'))",10
"(('Y07', 'Y08'), ('Y08', 'Y04'), ('Y09', 'Y10'), ('Y10', 'Y11'), ('Y11', 'Y07'), ('Y13', 'Y09'))",10
"(('Y09', 'Y05'), ('Y13', 'Y09'))",10
"(('Y09', 'Y10'), ('Y10', 'Y06'), ('Y13', 'Y09'))",10
"(('Y09', 'Y10'), ('Y10', 'Y11'), ('Y11', 'Y07'), ('Y13', 'Y09'))",10
"(('Y13', 'Y09'),)",10
"(('Y09', 'Y10'), ('Y13', 'Y09'))",10
"(('Y09', 'Y10'), ('Y10', 'Y11'), ('Y13', 'Y09'))",10
"(('Y09', 'Y10'), ('Y10', 'Y11'), ('Y11', 'Y12'), ('Y13', 'Y09'))",10
"(('Y13', 'Y14'),)",10
"(('Y13', 'Y14'), ('Y14', 'Y15'))",10
"(('Y05', 'Y01'), ('Y09', 'Y05'), ('Y10', 'Y09'), ('Y14', 'Y10'))",10
"(('Y14', 'Y15'), ('Y15', 'Y16'))",10
"(('Y06', 'Y02'), ('Y10', 'Y06'), ('Y14', 'Y10'))",10
"(('Y02', 'Y03'), ('Y06', 'Y02'), ('Y10', 'Y06'), ('Y14', 'Y10'))",10
"(('Y07', 'Y08'), ('Y08', 'Y04'), ('Y10', 'Y11'), ('Y11', 'Y07'), ('Y14', 'Y10'))",10
"(('Y09', 'Y05'), ('Y10', 'Y09'), ('Y14', 'Y10'))",10
"(('Y10', 'Y06'), ('Y14', 'Y10'))",10
"(('Y10', 'Y11'), ('Y11', 'Y07'), ('Y14', 'Y10'))",10
"(('Y07', 'Y08'), ('Y10', 'Y11'), ('Y11', 'Y07'), ('Y14', 'Y10'))",10
"(('Y10', 'Y09'), ('Y14', 'Y10'))",10
"(('Y14', 'Y10'),)",10
"(('Y10', 'Y11'), ('Y14', 'Y10'))",10
"(('Y10', 'Y11'), ('Y11', 'Y12'), ('Y14', 'Y10'))",10
"(('Y14', 'Y13'),)",10
"(('Y05', 'Y01'), ('Y09', 'Y05'))",10
"(('Y08', 'Y12'), ('Y12', 'Y16'))",10
"(('Y07', 'Y11'), ('Y08', 'Y07'), ('Y11', 'Y15'))",10
"(('Y03', 'Y07'), ('Y07', 'Y11'), ('Y11', 'Y12'), ('Y12', 'Y16'))",10
"(('Y03', 'Y04'),)",10
"(('Y01', 'Y05'), ('Y02', 'Y01'), ('Y03', 'Y02'))",10
"(('Y02', 'Y06'), ('Y03', 'Y02'))",10
"(('Y03', 'Y07'),)",10
"(('Y03', 'Y07'), ('Y07', 'Y08'))",10
"(('Y02', 'Y06'), ('Y03', 'Y02'), ('Y06', 'Y10'), ('Y10', 'Y09'))",10
"(('Y02', 'Y06'), ('Y03', 'Y02'), ('Y06', 'Y10'))",10
"(('Y03', 'Y07'), ('Y07', 'Y11'))",10
"(('Y03', 'Y07'), ('Y07', 'Y11'), ('Y11', 'Y12'))",10
"(('Y02', 'Y06'), ('Y03', 'Y02'), ('Y06', 'Y10'), ('Y09', 'Y13'), ('Y10', 'Y09'))",10
"(('Y02', 'Y06'), ('Y03', 'Y02'), ('Y06', 'Y10'), ('Y10', 'Y14'))",10
"(('Y03', 'Y07'), ('Y07', 'Y11'), ('Y11', 'Y15'))",10
"(('Y02', 'Y01'), ('Y03', 'Y02'), ('Y04', 'Y03'))",10
"(('Y02', 'Y01'), ('Y03', 'Y02'))",10
"(('Y03', 'Y02'), ('Y04', 'Y03'))",10
"(('Y04', 'Y03'),)",10
"(('Y01', 'Y05'), ('Y02', 'Y01'), ('Y03', 'Y02'), ('Y04', 'Y03'))",10
"(('Y02', 'Y06'), ('Y03', 'Y02'), ('Y04', 'Y03'))",10
"(('Y04', 'Y08'), ('Y08', 'Y07'))",10
"(('Y04', 'Y08'),)",10
"(('Y04', 'Y08'), ('Y07', 'Y11'), ('Y08', 'Y07'), ('Y10', 'Y09'), ('Y11', 'Y10'))",10
"(('Y04', 'Y08'), ('Y07', 'Y11'), ('Y08', 'Y07'), ('Y11', 'Y10'))",10
"(('Y04', 'Y08'), ('Y07', 'Y11'), ('Y08', 'Y07'))",10
"(('Y04', 'Y08'), ('Y08', 'Y12'))",10
"(('Y04', 'Y08'), ('Y07', 'Y11'), ('Y08', 'Y07'), ('Y09', 'Y13'), ('Y10', 'Y09'), ('Y11', 'Y10'))",10
"(('Y04', 'Y08'), ('Y07', 'Y11'), ('Y08', 'Y07'), ('Y10', 'Y14'), ('Y11', 'Y10'))",10
"(('Y03', 'Y02'),)",10
"(('Y02', 'Y06'), ('Y06', 'Y07'), ('Y07', 'Y11'), ('Y11', 'Y12'), ('Y12', 'Y16'))",10
"(('Y07', 'Y11'), ('Y08', 'Y07'), ('Y10', 'Y14'), ('Y11', 'Y10'))",10
"(('Y01', 'Y05'), ('Y05', 'Y09'), ('Y09', 'Y10'), ('Y10', 'Y11'), ('Y11', 'Y12'), ('Y12', 'Y16'))",10
"(('Y01', 'Y02'), ('Y02', 'Y03'), ('Y03', 'Y04'))",10
"(('Y01', 'Y05'),)",10
"(('Y01', 'Y02'), ('Y02', 'Y06'))",10
"(('Y01', 'Y02'), ('Y02', 'Y06'), ('Y06', 'Y07'))",10
"(('Y01', 'Y02'), ('Y02', 'Y06'), ('Y06', 'Y07'), ('Y07', 'Y08'))",10
"(('Y01', 'Y05'), ('Y05', 'Y09'))",10
"(('Y01', 'Y05'), ('Y05', 'Y09'), ('Y09', 'Y10'))",10
"(('Y01', 'Y05'), ('Y05', 'Y09'), ('Y09', 'Y10'), ('Y10', 'Y11'))",10
"(('Y01', 'Y05'), ('Y05', 'Y09'), ('Y09', 'Y10'), ('Y10', 'Y11'), ('Y11', 'Y12'))",10
"(('Y01', 'Y05'), ('Y05', 'Y09'), ('Y09', 'Y13'))",10
"(('Y01', 'Y05'), ('Y05', 'Y09'), ('Y09', 'Y10'), ('Y10', 'Y14'))",10
"(('Y01', 'Y05'), ('Y05', 'Y09'), ('Y09', 'Y10'), ('Y10', 'Y11'), ('Y11', 'Y15'))",10
"(('Y02', 'Y01'),)",10
"(('Y02', 'Y06'), ('Y06', 'Y07'), ('Y07', 'Y11'), ('Y11', 'Y15'))",10
"(('Y02', 'Y03'),)",10
"(('Y02', 'Y03'), ('Y03', 'Y04'))",10
"(('Y01', 'Y05'), ('Y02', 'Y01'))",10
"(('Y02', 'Y06'),)",10
"(('Y02', 'Y06'), ('Y06', 'Y07'))",10
"(('Y02', 'Y06'), ('Y06', 'Y07'), ('Y07', 'Y08'))",10
"(('Y02', 'Y06'), ('Y06', 'Y10'), ('Y10', 'Y09'))",10
"(('Y02', 'Y06'), ('Y06', 'Y10'))",10
"(('Y02', 'Y06'), ('Y06', 'Y07'), ('Y07', 'Y11'))",10
"(('Y02', 'Y06'), ('Y06', 'Y07'), ('Y07', 'Y11'), ('Y11', 'Y12'))",10
"(('Y02', 'Y06'), ('Y06', 'Y10'), ('Y09', 'Y13'), ('Y10', 'Y09'))",10
"(('Y02', 'Y06'), ('Y06', 'Y10'), ('Y10', 'Y14'))",10
"(('Y04', 'Y08'), ('Y07', 'Y11'), ('Y08', 'Y07'), ('Y11', 'Y15'))",10
"(('Y04', 'Y08'), ('Y08', 'Y12'), ('Y12', 'Y16'))",10
"(('Y05', 'Y01'),)",10
"(('Y07', 'Y11'), ('Y11', 'Y15'))",10
"(('Y06', 'Y02'), ('Y07', 'Y06'))",10
"(('Y07', 'Y03'),)",10
"(('Y07', 'Y08'), ('Y08', 'Y04'))",10
"(('Y06', 'Y05'), ('Y07', 'Y06'))",10
"(('Y07', 'Y06'),)",10
"(('Y07', 'Y08'),)",10
"(('Y07', 'Y11'), ('Y10', 'Y09'), ('Y11', 'Y10'))",10
"(('Y07', 'Y11'), ('Y11', 'Y10'))",10
"(('Y07', 'Y11'),)",10
"(('Y07', 'Y11'), ('Y11', 'Y12'))",10
"(('Y07', 'Y11'), ('Y09', 'Y13'), ('Y10', 'Y09'), ('Y11', 'Y10'))",10
"(('Y07', 'Y11'), ('Y10', 'Y14'), ('Y11', 'Y10'))",10
"(('Y07', 'Y11'), ('Y11', 'Y12'), ('Y12', 'Y16'))",10
"(('Y01', 'Y02'), ('Y05', 'Y01'))",10
"(('Y02', 'Y01'), ('Y06', 'Y02'), ('Y07', 'Y06'), ('Y08', 'Y07'))",10
"(('Y06', 'Y02'), ('Y07', 'Y06'), ('Y08', 'Y07'))",10
"(('Y07', 'Y03'), ('Y08', 'Y07'))",10
"(('Y08', 'Y04'),)",10
"(('Y06', 'Y05'), ('Y07', 'Y06'), ('Y08', 'Y07'))",10
"(('Y07', 'Y06'), ('Y08', 'Y07'))",10
"(('Y08', 'Y07'),)",10
"(('Y07', 'Y11'), ('Y08', 'Y07'), ('Y10', 'Y09'), ('Y11', 'Y10'))",10
"(('Y07', 'Y11'), ('Y08', 'Y07'), ('Y11', 'Y10'))",10
"(('Y07', 'Y11'), ('Y08', 'Y07'))",10
"(('Y08', 'Y12'),)",10
"(('Y07', 'Y11'), ('Y08', 'Y07'), ('Y09', 'Y13'), ('Y10', 'Y09'), ('Y11', 'Y10'))",10
"(('Y02', 'Y01'), ('Y06', 'Y02'), ('Y07', 'Y06'))",10
"(('Y06', 'Y07'), ('Y07', 'Y11'), ('Y11', 'Y12'), ('Y12', 'Y16'))",10
"(('Y06', 'Y07'), ('Y07', 'Y11'), ('Y11', 'Y15'))",10
"(('Y06', 'Y10'), ('Y10', 'Y14'))",10
"(('Y01', 'Y02'), ('Y02', 'Y03'), ('Y05', 'Y01'))",10
"(('Y01', 'Y02'), ('Y02', 'Y03'), ('Y03', 'Y04'), ('Y05', 'Y01'))",10
"(('Y05', 'Y06'),)",10
"(('Y05', 'Y06'), ('Y06', 'Y07'))",10
"(('Y05', 'Y06'), ('Y06', 'Y07'), ('Y07', 'Y08'))",10
"(('Y05', 'Y09'),)",10
"(('Y05', 'Y09'), ('Y09', 'Y10'))",10
"(('Y05', 'Y09'), ('Y09', 'Y10'), ('Y10', 'Y11'))",10
"(('Y05', 'Y09'), ('Y09', 'Y10'), ('Y10', 'Y11'), ('Y11', 'Y12'))",10
"(('Y05', 'Y09'), ('Y09', 'Y13'))",10
"(('Y05', 'Y09'), ('Y09', 'Y10'), ('Y10', 'Y14'))",10
"(('Y05', 'Y09'), ('Y09', 'Y10'), ('Y10', 'Y11'), ('Y11', 'Y15'))",10
"(('Y05', 'Y09'), ('Y09', 'Y10'), ('Y10', 'Y11'), ('Y11', 'Y12'), ('Y12', 'Y16'))",10
"(('Y02', 'Y01'), ('Y06', 'Y02'))",10
"(('Y06', 'Y02'),)",10
"(('Y02', 'Y03'), ('Y06', 'Y02'))",10
"(('Y02', 'Y03'), ('Y03', 'Y04'), ('Y06', 'Y02'))",10
"(('Y06', 'Y05'),)",10
"(('Y06', 'Y07'),)",10
"(('Y06', 'Y07'), ('Y07', 'Y08'))",10
"(('Y06', 'Y10'), ('Y10', 'Y09'))",10
"(('Y06', 'Y10'),)",10
"(('Y06', 'Y07'), ('Y07', 'Y11'))",10
"(('Y06', 'Y07'), ('Y07', 'Y11'), ('Y11', 'Y12'))",10
"(('Y06', 'Y10'), ('Y09', 'Y13'), ('Y10', 'Y09'))",10
"(('Y16', 'Y15'),)",10
